"Group","coral_type","img","hp.pd","tc.pd.10","tc.pd.20","htc.pd","delta_hp","delta_tc10","delta_tc20","delta_htc","tc.off","tc.prob"
"GroupO","orange_coral","img0483",NA,0.1081,0.0916,NA,NA,0,-0.0165,NA,1.19009237456427,0.301469983971235
"GroupO","orange_coral","img0875",0.00660000000000005,0.4192,0.4198,0.00690000000000002,-0.4132,-0.000599999999999934,0,-0.4129,2.0483303493366,0.809506351993452
"GroupO","orange_coral","img0880",0.0849,0.1359,0.1359,0.0848,-0.051,0,0,-0.0511,1.09844336132303,0.173720007843929
"GroupO","orange_coral","img0929",0.0438,0.296,0.2963,0.0434,-0.2525,-0.000299999999999967,0,-0.2529,1.50858334179937,0.58834261810511
"GroupO","orange_coral","img0933",0.0276999999999999,0.942,0.8917,0.0286999999999999,-0.9143,0,-0.0502999999999999,-0.9133,2.58962650684609,0.903694677401714
"GroupO","orange_coral","img0970",9.9999999999989e-05,0.704,0.7086,9.9999999999989e-05,-0.7085,-0.00460000000000005,0,-0.7085,1.44322394221708,0.543801616779122
"GroupO","pink_coral","img0483",NA,0.9596,0.9656,NA,NA,-0.00600000000000001,0,NA,1.14153186082945,0.237270518899805
"GroupP","orange_coral","img0457",0.9898,0.5609,0.565,0.9932,-0.00339999999999996,-0.4323,-0.4282,0,1.17564749162628,0.283131406543156
"GroupP","orange_coral","img0458",0.0588,0.3629,0.3622,0.0649,-0.3041,0,-0.000700000000000034,-0.298,1.39374344087013,0.506022866163165
"GroupP","orange_coral","img0459",0.2261,0.963,0.9092,0.217,-0.7369,0,-0.0538,-0.746,1.48074905310827,0.570067324268122
"GroupP","orange_coral","img0470",0.7509,0.6919,0.7013,0.7658,-0.0149,-0.0739000000000001,-0.0645,0,6.67894302630297,0.998732204217186
"GroupP","orange_coral","img0474",0.3921,0.9182,0.9028,0.3777,-0.5261,0,-0.0154,-0.5405,1.74394975320445,0.710193475956615
"GroupP","orange_coral","img0494",0.0767,0.1537,0.154,0.0819,-0.0773,-0.000300000000000078,0,-0.0721000000000001,1.46197545309426,0.557169414029923
"GroupP","orange_coral","img0592",0.9083,0.8457,0.8567,0.9232,-0.0149,-0.0775,-0.0665,0,1.19337410834011,0.305551399680711
"GroupP","orange_coral","img0629",0.9017,0.8253,0.8306,0.9199,-0.0182,-0.0945999999999999,-0.0892999999999999,0,7.4886897811764,0.999438266563986
"GroupP","pink_coral","img0307",0.7972,0.4498,0.4496,0.7956,0,-0.3474,-0.3476,-0.00160000000000005,1.1221467491453,0.209500851180543
"GroupP","pink_coral","img0310",0.7988,0.969,0.9516,0.7783,-0.1702,0,-0.0174,-0.1907,1.37082296304493,0.487192359339352
"GroupP","pink_coral","img0313",0.6789,0.7511,0.7408,0.6838,-0.0721999999999999,0,-0.0103,-0.0673,1.2272738545111,0.345962967935904
"GroupP","pink_coral","img0315",0.7327,0.8947,0.8437,0.732,-0.162,0,-0.051,-0.1627,1.72435600841141,0.701899511726012
"GroupP","pink_coral","img0317",0.9502,0.9536,0.9588,0.9492,-0.00859999999999994,-0.00519999999999998,0,-0.00959999999999994,1.21439724644844,0.330979560136793
"GroupP","pink_coral","img0319",0.4141,0.7311,0.6551,0.4211,-0.317,0,-0.0760000000000001,-0.31,1.53762568247216,0.606396111759141
"GroupP","pink_coral","img0320",0.9287,0.8445,0.8133,0.9248,0,-0.0841999999999999,-0.1154,-0.00390000000000001,1.27268274496325,0.395480125019777
"GroupP","pink_coral","img0322",0.3558,0.9275,0.9562,0.3558,-0.6004,-0.0287000000000001,0,-0.6004,1.1233819567292,0.211309332555469
"GroupP","pink_coral","img0448",0.0574,0.1027,0.0897,0.0619,-0.0453,0,-0.013,-0.0408000000000001,2.10427147947719,0.823059181634344
"GroupP","pink_coral","img0455",0.8016,0.827,0.787,0.793,-0.0254,0,-0.0399999999999999,-0.0339999999999999,1.53451652001012,0.604510809830192
"GroupP","pink_coral","img0457",0.8169,0.9467,0.9423,0.8175,-0.1298,0,-0.00439999999999996,-0.1292,1.65770680853713,0.671450714987815
"GroupP","pink_coral","img0458",0.0512,0.0548,0.0532,0.052,-0.00359999999999994,0,-0.00159999999999993,-0.00279999999999991,3.23363861160466,0.954310956405149
"GroupP","pink_coral","img0459",0.6203,0.8567,0.7482,0.6246,-0.2364,0,-0.1085,-0.2321,1.7114193091559,0.696266073435548
"GroupP","pink_coral","img0470",0.3291,0.4545,0.4645,0.3278,-0.1354,-0.01,0,-0.1367,2.3470310357776,0.87031676547868
"GroupP","pink_coral","img0474",0.8081,0.8359,0.8277,0.8195,-0.0277999999999999,0,-0.00819999999999999,-0.0164,1.16471405102004,0.268833893393623
"GroupP","pink_coral","img0475",0.0405,0.7069,0.6522,0.0386,-0.6664,0,-0.0547,-0.6683,1.29925313296019,0.422239817892708
"GroupP","pink_coral","img0494",0.0475,0.2175,0.1357,0.0479000000000001,-0.17,0,-0.0818,-0.1696,1.39446957993172,0.506605083563205
"GroupP","pink_coral","img0555",0.6349,0.5524,0.566,0.637,-0.00209999999999999,-0.0846,-0.071,0,14.9509722852252,0.999999678724711
"GroupP","pink_coral","img0592",0.1022,0.3346,0.3345,0.0925,-0.2324,0,-9.9999999999989e-05,-0.2421,3.91099248232902,0.97819731961366
"GroupP","pink_coral","img0629",0.4605,0.5928,0.4858,0.458,-0.1323,0,-0.107,-0.1348,2.15602197475359,0.8346070548433
"GroupP","pink_coral","img0932",0.0782,0.3111,0.3116,0.0814,-0.2334,-0.000499999999999945,0,-0.2302,1.2892725689389,0.41236890516839
"GroupM","orange_coral","img0460",0.0622,0.307,0.3064,0.0629999999999999,-0.2448,0,-0.000600000000000045,-0.244,1.31974456066594,0.441853387644302
"GroupM","orange_coral","img0461",0.927,0.4398,0.4423,0.9128,0,-0.4872,-0.4847,-0.0142,1.76703354873782,0.719610680332254
"GroupM","orange_coral","img0466",0.3751,0.575,0.579,0.3898,-0.2039,-0.004,0,-0.1892,3.69324097381264,0.972442007199081
"GroupM","orange_coral","img0490",0.7259,0.7866,0.7112,0.7285,-0.0607,0,-0.0753999999999999,-0.0581,1.24497749258453,0.365865833997874
"GroupM","orange_coral","img0590",0.6462,0.9098,0.9205,0.6296,-0.2743,-0.0107,0,-0.2909,1.49233674651431,0.577795467417329
"GroupM","orange_coral","img1011",0.358,0.9275,0.9553,0.3588,-0.5973,-0.0278,0,-0.5965,1.23766208936852,0.357737378935145
"GroupM","orange_coral","img1019",0.000399999999999956,0.643,0.6314,0.000299999999999967,-0.6426,0,-0.0116000000000001,-0.6427,1.25316752164791,0.374810125147775
"GroupM","orange_coral","img1023",0.7584,0.7227,0.7317,0.7397,0,-0.0357,-0.0266999999999999,-0.0186999999999999,1.21021810493935,0.326021698205838
"GroupM","orange_coral","img1025",0.00690000000000002,0.6051,0.608,0.00690000000000002,-0.6011,-0.00290000000000001,0,-0.6011,1.70367198269167,0.692830722386259
"GroupM","pink_coral","img0460",0.3467,0.1714,0.1685,0.346,0,-0.1753,-0.1782,-0.000700000000000034,1.193149553995,0.305273111488024
"GroupM","pink_coral","img0461",0.4594,0.4569,0.4571,0.4586,0,-0.00250000000000006,-0.00230000000000008,-0.000800000000000023,2.34688825290752,0.870293596678047
"GroupM","pink_coral","img0466",0.0636,0.2291,0.2287,0.0593,-0.1655,0,-0.000399999999999956,-0.1698,1.06594109898403,0.121118281902657
"GroupM","pink_coral","img0490",0.00119999999999998,0.8343,0.8439,0.002,-0.8427,-0.00959999999999994,0,-0.8419,1.13917396055082,0.233961494967767
"GroupM","pink_coral","img0590",0.5981,0.7539,0.7276,0.6008,-0.1558,0,-0.0263,-0.1531,1.8122222051189,0.737003275425588
"GroupM","pink_coral","img1011",0.5005,0.7481,0.7746,0.4955,-0.2741,-0.0265,0,-0.2791,2.15155496673662,0.83364547163947
"GroupM","pink_coral","img1019",0.00890000000000002,0.9541,0.9493,0.00819999999999999,-0.9452,0,-0.00479999999999992,-0.9459,1.551515489428,0.614684234704769
"GroupM","pink_coral","img1023",0.5152,0.9091,0.9467,0.5132,-0.4315,-0.0376,0,-0.4335,2.2862533178802,0.86001338228064
"GroupM","pink_coral","img1025",0.2121,0.9409,0.949,0.2147,-0.7369,-0.0081,0,-0.7343,1.97945840369578,0.791117784059306
